exercise,language,topic
hello-world,ruby,strings
two-fer,ruby,conditionals
two-fer,ruby,strings
hamming,ruby,equality
hamming,ruby,loops
hamming,ruby,strings
gigasecond,ruby,time
rna-transcription,ruby,maps
rna-transcription,ruby,transforming
raindrops,ruby,conditionals
raindrops,ruby,filtering
raindrops,ruby,strings
difference-of-squares,ruby,algorithms
difference-of-squares,ruby,math
pangram,ruby,loops
pangram,ruby,strings
sieve,ruby,algorithms
sieve,ruby,integers
sieve,ruby,loops
sieve,ruby,math
sieve,ruby,sorting
roman-numerals,ruby,numbers
roman-numerals,ruby,transforming
nth-prime,ruby,algorithms
nth-prime,ruby,integers
nth-prime,ruby,math
leap,ruby,booleans
leap,ruby,conditionals
leap,ruby,integers
leap,ruby,logic
grains,ruby,bitwise_operations
grains,ruby,if_else_statements
grains,ruby,integers
grains,ruby,type_conversion
word-count,ruby,sorting
word-count,ruby,strings
bob,ruby,conditionals
bob,ruby,strings
run-length-encoding,ruby,parsing
run-length-encoding,ruby,strings
run-length-encoding,ruby,transforming
accumulate,ruby,lists
sum-of-multiples,ruby,loops
sum-of-multiples,ruby,math
grade-school,ruby,lists
grade-school,ruby,sorting
grade-school,ruby,structs
series,ruby,arrays
series,ruby,refactoring
series,ruby,strings
phone-number,ruby,conditionals
phone-number,ruby,regular_expressions
phone-number,ruby,strings
phone-number,ruby,text_formatting
phone-number,ruby,transforming
prime-factors,ruby,algorithms
prime-factors,ruby,integers
prime-factors,ruby,math
strain,ruby,arrays
strain,ruby,filtering
strain,ruby,loops
etl,ruby,loops
etl,ruby,maps
etl,ruby,transforming
beer-song,ruby,loops
beer-song,ruby,strings
beer-song,ruby,text_formatting
bowling,ruby,algorithms
bowling,ruby,arrays
bowling,ruby,conditionals
space-age,ruby,floating_point_numbers
space-age,ruby,if_else_statements
anagram,ruby,filtering
anagram,ruby,parsing
anagram,ruby,sorting
anagram,ruby,strings
binary-search-tree,ruby,algorithms
binary-search-tree,ruby,recursion
binary-search-tree,ruby,searching
binary-search-tree,ruby,sorting
binary-search-tree,ruby,structs
binary-search-tree,ruby,trees
crypto-square,ruby,cryptography
crypto-square,ruby,filtering
crypto-square,ruby,strings
crypto-square,ruby,text_formatting
crypto-square,ruby,transforming
clock,ruby,equality
clock,ruby,text_formatting
clock,ruby,time
alphametics,ruby,algorithms
alphametics,ruby,arrays
alphametics,ruby,searching
rail-fence-cipher,ruby,algorithms
rail-fence-cipher,ruby,cryptography
rail-fence-cipher,ruby,loops
rail-fence-cipher,ruby,sorting
rail-fence-cipher,ruby,strings
rail-fence-cipher,ruby,text_formatting
rail-fence-cipher,ruby,transforming
acronym,ruby,regular_expressions
acronym,ruby,strings
acronym,ruby,transforming
scrabble-score,ruby,loops
scrabble-score,ruby,maps
scrabble-score,ruby,strings
nucleotide-count,ruby,maps
nucleotide-count,ruby,parsing
nucleotide-count,ruby,strings
flatten-array,ruby,arrays
flatten-array,ruby,recursion
say,ruby,numbers
say,ruby,strings
say,ruby,text_formatting
say,ruby,transforming
meetup,ruby,dates
meetup,ruby,time
meetup,ruby,transforming
meetup,ruby,type_conversion
robot-name,ruby,randomness
queen-attack,ruby,booleans
queen-attack,ruby,errors
queen-attack,ruby,games
queen-attack,ruby,logic
