language,exercise,core,difficulty
ruby,hello-world,1,1
ruby,two-fer,1,1
ruby,hamming,1,1
ruby,gigasecond,0,1
ruby,rna-transcription,0,2
ruby,raindrops,1,1
ruby,difference-of-squares,1,2
ruby,pangram,0,2
ruby,sieve,0,3
ruby,roman-numerals,0,2
ruby,nth-prime,0,3
ruby,leap,0,1
ruby,grains,1,2
ruby,word-count,0,3
ruby,bob,0,2
ruby,run-length-encoding,0,4
ruby,binary,0,0
ruby,accumulate,0,1
ruby,sum-of-multiples,0,5
ruby,grade-school,0,5
ruby,series,0,3
ruby,phone-number,0,3
ruby,prime-factors,0,3
ruby,strain,0,2
ruby,etl,0,1
ruby,trinary,0,0
ruby,beer-song,0,3
ruby,bowling,0,5
ruby,space-age,0,2
ruby,anagram,0,3
ruby,binary-search-tree,0,5
ruby,crypto-square,0,3
ruby,clock,1,3
ruby,alphametics,0,5
ruby,rail-fence-cipher,0,4
ruby,acronym,0,2
ruby,scrabble-score,1,2
ruby,nucleotide-count,0,2
ruby,flatten-array,0,1
ruby,hexadecimal,0,0
ruby,say,0,7
ruby,meetup,0,3
ruby,robot-name,1,3
ruby,queen-attack,0,5
ruby,palindrome-products,0,6
ruby,bracket-push,0,7
ruby,food-chain,0,4
ruby,matrix,1,4
ruby,saddle-points,0,5
ruby,triangle,0,3
ruby,atbash-cipher,0,3
ruby,house,0,4
ruby,secret-handshake,0,5
ruby,proverb,0,4
ruby,ocr-numbers,0,7
ruby,pig-latin,0,4
ruby,simple-linked-list,0,4
ruby,luhn,1,2
ruby,simple-cipher,0,3
ruby,wordy,0,3
ruby,allergies,0,4
ruby,poker,0,5
ruby,kindergarten-garden,0,3
ruby,largest-series-product,0,3
ruby,pythagorean-triplet,0,5
ruby,scale-generator,0,3
ruby,protein-translation,0,3
ruby,perfect-numbers,0,4
ruby,isogram,1,2
ruby,circular-buffer,0,5
ruby,diamond,0,4
ruby,custom-set,0,4
ruby,twelve-days,1,4
ruby,transpose,0,5
ruby,pascals-triangle,0,4
ruby,linked-list,0,4
ruby,binary-search,0,5
ruby,tournament,1,3
ruby,minesweeper,0,5
ruby,robot-simulator,0,6
ruby,all-your-base,0,3
ruby,connect,0,9
ruby,change,0,5
ruby,collatz-conjecture,0,1
ruby,book-store,0,8
ruby,rotational-cipher,0,2
ruby,isbn-verifier,0,2
ruby,dominoes,0,4
ruby,two-bucket,0,5
ruby,list-ops,0,3
ruby,octal,0,0
ruby,affine-cipher,0,3
ruby,complex-numbers,0,3
ruby,point-mutations,0,0
ruby,zipper,0,7
java,hello-world,1,1
java,two-fer,1,1
java,reverse-string,0,1
java,armstrong-numbers,0,2
java,rna-transcription,0,2
java,pangram,0,3
java,hamming,1,3
java,gigasecond,1,3
java,space-age,0,3
java,acronym,0,3
java,scrabble-score,1,3
java,raindrops,0,3
java,difference-of-squares,1,3
java,secret-handshake,1,3
java,perfect-numbers,0,3
java,protein-translation,0,3
java,proverb,0,4
java,isbn-verifier,0,4
java,sum-of-multiples,0,4
java,luhn,0,4
java,matrix,1,4
java,triangle,1,4
java,largest-series-product,0,4
java,sieve,0,4
java,twelve-days,0,4
java,rotational-cipher,1,4
java,kindergarten-garden,0,4
java,collatz-conjecture,0,4
java,nth-prime,0,4
java,saddle-points,1,4
java,error-handling,0,4
java,diamond,0,4
java,isogram,0,4
java,variable-length-quantity,0,4
java,flatten-array,1,5
java,pig-latin,0,5
java,phone-number,0,5
java,nucleotide-count,0,5
java,word-count,1,5
java,run-length-encoding,0,5
java,robot-name,1,5
java,prime-factors,0,5
java,allergies,0,5
java,bob,0,5
java,pascals-triangle,0,5
java,bracket-push,0,5
java,series,0,5
java,atbash-cipher,0,5
java,grep,0,5
java,alphametics,0,6
java,spiral-matrix,0,6
java,roman-numerals,0,6
java,transpose,0,6
java,house,0,6
java,food-chain,0,6
java,beer-song,0,6
java,queen-attack,0,6
java,etl,0,6
java,grade-school,0,6
java,robot-simulator,0,6
java,binary-search,1,6
java,minesweeper,0,6
java,wordy,0,6
java,all-your-base,0,6
java,bank-account,1,6
java,bowling,0,6
java,linked-list,1,6
java,tournament,0,6
java,parallel-letter-frequency,0,6
java,rail-fence-cipher,0,6
java,two-bucket,0,7
java,anagram,0,7
java,sublist,0,7
java,word-search,0,7
java,simple-linked-list,0,7
java,binary-search-tree,0,7
java,meetup,0,7
java,crypto-square,0,7
java,markdown,0,7
java,poker,0,7
java,clock,0,7
java,zipper,0,7
java,go-counting,0,7
java,dominoes,0,7
java,ocr-numbers,0,8
java,circular-buffer,0,8
java,rectangles,0,8
java,book-store,0,8
java,diffie-hellman,0,8
java,simple-cipher,0,8
java,complex-numbers,0,8
java,rational-numbers,0,8
java,list-ops,0,8
java,change,0,8
java,palindrome-products,0,8
java,pythagorean-triplet,0,9
java,forth,0,9
java,custom-set,0,10
java,accumulate,0,0
java,binary,0,0
java,hexadecimal,0,0
java,octal,0,0
java,strain,0,0
java,trinary,0,0
coffeescript,hello-world,0,1
coffeescript,bob,0,5
coffeescript,word-count,0,3
coffeescript,accumulate,0,3
coffeescript,binary,0,2
coffeescript,anagram,0,2
coffeescript,trinary,0,3
coffeescript,hexadecimal,0,3
coffeescript,triangle,0,2
coffeescript,luhn,0,2
coffeescript,binary-search-tree,0,5
coffeescript,nth-prime,0,4
coffeescript,palindrome-products,0,2
coffeescript,queen-attack,0,1
coffeescript,wordy,0,4
coffeescript,clock,0,3
coffeescript,beer-song,0,2
coffeescript,atbash-cipher,0,5
coffeescript,linked-list,0,3
coffeescript,pascals-triangle,0,2
coffeescript,nucleotide-count,0,2
elixir,hello-world,1,1
elixir,nucleotide-count,0,2
elixir,secret-handshake,0,2
elixir,rotational-cipher,0,2
elixir,strain,0,2
elixir,protein-translation,0,2
elixir,pig-latin,0,2
elixir,space-age,0,2
elixir,bob,1,2
elixir,twelve-days,0,3
elixir,word-count,1,2
elixir,accumulate,0,2
elixir,acronym,0,2
elixir,series,0,2
elixir,raindrops,0,2
elixir,run-length-encoding,0,2
elixir,sublist,0,2
elixir,scrabble-score,0,2
elixir,sum-of-multiples,0,2
elixir,pangram,0,2
elixir,simple-linked-list,0,1
elixir,anagram,0,2
elixir,matrix,0,3
elixir,bracket-push,0,3
elixir,rna-transcription,1,2
elixir,phone-number,0,3
elixir,nth-prime,0,2
elixir,roman-numerals,1,2
elixir,all-your-base,0,2
elixir,hamming,0,2
elixir,triangle,0,2
elixir,beer-song,1,3
elixir,isogram,0,3
elixir,grade-school,0,3
elixir,tournament,0,4
elixir,list-ops,1,4
elixir,flatten-array,0,3
elixir,leap,0,3
elixir,kindergarten-garden,0,3
elixir,etl,0,2
elixir,meetup,0,4
elixir,grains,0,3
elixir,change,0,3
elixir,parallel-letter-frequency,0,4
elixir,binary,0,3
elixir,scale-generator,0,5
elixir,luhn,0,5
elixir,markdown,1,5
elixir,gigasecond,0,3
elixir,queen-attack,0,7
elixir,pascals-triangle,0,3
elixir,saddle-points,0,5
elixir,hexadecimal,0,3
elixir,diamond,0,5
elixir,binary-search,1,3
elixir,binary-search-tree,0,3
elixir,prime-factors,0,3
elixir,perfect-numbers,0,3
elixir,diffie-hellman,0,4
elixir,sieve,0,5
elixir,wordy,0,6
elixir,robot-simulator,1,6
elixir,atbash-cipher,0,3
elixir,simple-cipher,0,3
elixir,bank-account,1,7
elixir,largest-series-product,0,4
elixir,crypto-square,0,4
elixir,pythagorean-triplet,0,5
elixir,allergies,0,4
elixir,palindrome-products,0,5
elixir,rail-fence-cipher,0,6
elixir,zipper,1,8
elixir,minesweeper,0,7
elixir,connect,0,7
elixir,difference-of-squares,0,4
elixir,poker,0,7
elixir,bowling,1,8
elixir,dot-dsl,0,8
elixir,custom-set,0,5
elixir,forth,1,10
elixir,clock,1,5
elixir,grep,0,1
elixir,say,0,3
elixir,ocr-numbers,0,6
elixir,collatz-conjecture,0,2
elixir,dominoes,0,4
elixir,transpose,0,5
elixir,isbn-verifier,0,3
