language,exercise,topic
ruby,hello-world,strings
ruby,two-fer,conditionals
ruby,two-fer,strings
ruby,hamming,equality
ruby,hamming,loops
ruby,hamming,strings
ruby,gigasecond,time
ruby,rna-transcription,maps
ruby,rna-transcription,transforming
ruby,raindrops,conditionals
ruby,raindrops,filtering
ruby,raindrops,strings
ruby,difference-of-squares,algorithms
ruby,difference-of-squares,math
ruby,pangram,loops
ruby,pangram,strings
ruby,sieve,algorithms
ruby,sieve,integers
ruby,sieve,loops
ruby,sieve,math
ruby,sieve,sorting
ruby,roman-numerals,numbers
ruby,roman-numerals,transforming
ruby,nth-prime,algorithms
ruby,nth-prime,integers
ruby,nth-prime,math
ruby,leap,booleans
ruby,leap,conditionals
ruby,leap,integers
ruby,leap,logic
ruby,grains,bitwise_operations
ruby,grains,if_else_statements
ruby,grains,integers
ruby,grains,type_conversion
ruby,word-count,sorting
ruby,word-count,strings
ruby,bob,conditionals
ruby,bob,strings
ruby,run-length-encoding,parsing
ruby,run-length-encoding,strings
ruby,run-length-encoding,transforming
ruby,accumulate,lists
ruby,sum-of-multiples,loops
ruby,sum-of-multiples,math
ruby,grade-school,lists
ruby,grade-school,sorting
ruby,grade-school,structs
ruby,series,arrays
ruby,series,refactoring
ruby,series,strings
ruby,phone-number,conditionals
ruby,phone-number,regular_expressions
ruby,phone-number,strings
ruby,phone-number,text_formatting
ruby,phone-number,transforming
ruby,prime-factors,algorithms
ruby,prime-factors,integers
ruby,prime-factors,math
ruby,strain,arrays
ruby,strain,filtering
ruby,strain,loops
ruby,etl,loops
ruby,etl,maps
ruby,etl,transforming
ruby,beer-song,loops
ruby,beer-song,strings
ruby,beer-song,text_formatting
ruby,bowling,algorithms
ruby,bowling,arrays
ruby,bowling,conditionals
ruby,space-age,floating_point_numbers
ruby,space-age,if_else_statements
ruby,anagram,filtering
ruby,anagram,parsing
ruby,anagram,sorting
ruby,anagram,strings
ruby,binary-search-tree,algorithms
ruby,binary-search-tree,recursion
ruby,binary-search-tree,searching
ruby,binary-search-tree,sorting
ruby,binary-search-tree,structs
ruby,binary-search-tree,trees
ruby,crypto-square,cryptography
ruby,crypto-square,filtering
ruby,crypto-square,strings
ruby,crypto-square,text_formatting
ruby,crypto-square,transforming
ruby,clock,equality
ruby,clock,text_formatting
ruby,clock,time
ruby,alphametics,algorithms
ruby,alphametics,arrays
ruby,alphametics,searching
ruby,rail-fence-cipher,algorithms
ruby,rail-fence-cipher,cryptography
ruby,rail-fence-cipher,loops
