language,exercise,difficulty,core,unlocked_by
ruby,hello-world,1.0,False,
ruby,hamming,1.0,False,
ruby,gigasecond,1.0,False,
ruby,rna-transcription,1.0,False,
ruby,raindrops,1.0,False,
ruby,difference-of-squares,1.0,False,
ruby,pangram,1.0,False,
ruby,sieve,1.0,False,
ruby,roman-numerals,1.0,False,
ruby,nth-prime,1.0,False,
ruby,leap,1.0,False,
ruby,grains,1.0,False,
ruby,word-count,1.0,False,
ruby,bob,1.0,False,
ruby,run-length-encoding,1.0,False,
ruby,binary,1.0,False,
ruby,accumulate,1.0,False,
ruby,sum-of-multiples,1.0,False,
ruby,grade-school,1.0,False,
ruby,series,1.0,False,
ruby,phone-number,1.0,False,
ruby,prime-factors,1.0,False,
ruby,strain,1.0,False,
ruby,etl,1.0,False,
ruby,trinary,1.0,False,
ruby,beer-song,1.0,False,
ruby,bowling,1.0,False,
ruby,space-age,1.0,False,
ruby,anagram,1.0,False,
ruby,binary-search-tree,1.0,False,
ruby,crypto-square,1.0,False,
ruby,clock,1.0,False,
ruby,alphametics,1.0,False,
ruby,rail-fence-cipher,1.0,False,
ruby,acronym,1.0,False,
ruby,scrabble-score,1.0,False,
ruby,nucleotide-count,1.0,False,
ruby,flatten-array,1.0,False,
ruby,hexadecimal,1.0,False,
ruby,say,1.0,False,
ruby,meetup,1.0,False,
ruby,robot-name,6.0,False,
ruby,queen-attack,1.0,False,
ruby,palindrome-products,1.0,False,
ruby,bracket-push,1.0,False,
ruby,food-chain,1.0,False,
ruby,matrix,1.0,False,
ruby,saddle-points,1.0,False,
ruby,triangle,1.0,False,
ruby,atbash-cipher,1.0,False,
ruby,house,1.0,False,
ruby,secret-handshake,1.0,False,
ruby,proverb,1.0,False,
ruby,ocr-numbers,1.0,False,
ruby,pig-latin,1.0,False,
ruby,simple-linked-list,1.0,False,
ruby,luhn,1.0,False,
ruby,simple-cipher,1.0,False,
ruby,wordy,1.0,False,
ruby,allergies,1.0,False,
ruby,poker,1.0,False,
ruby,kindergarten-garden,1.0,False,
ruby,linked-list,1.0,False,
ruby,pythagorean-triplet,1.0,False,
ruby,robot-simulator,1.0,False,
ruby,twelve-days,1.0,False,
ruby,circular-buffer,1.0,False,
ruby,largest-series-product,1.0,False,
ruby,binary-search,1.0,False,
ruby,two-bucket,1.0,False,
ruby,pascals-triangle,1.0,False,
ruby,custom-set,1.0,False,
ruby,minesweeper,1.0,False,
ruby,scale-generator,1.0,False,
ruby,protein-translation,1.0,False,
ruby,perfect-numbers,1.0,False,
ruby,connect,1.0,False,
ruby,list-ops,1.0,False,
ruby,diamond,1.0,False,
ruby,all-your-base,1.0,False,
ruby,isogram,1.0,False,
ruby,transpose,1.0,False,
ruby,tournament,1.0,False,
ruby,dominoes,1.0,False,
